#,Company,Symbol,Portfolio%,Price
1,Apple Inc.,AAPL,7.33%,195.89
2,Microsoft Corp,MSFT,6.84%,372.65
3,Amazon.com Inc,AMZN,3.37%,154.07
4,Nvidia Corp,NVDA,3.01%,500.77
5,Alphabet Inc. Class A,GOOGL,1.97%,135.8
6,"Meta Platforms, Inc. Class A",META,1.86%,344.62
7,"Tesla, Inc.",TSLA,1.75%,252.02
8,Alphabet Inc. Class C,GOOG,1.69%,137.19
9,Berkshire Hathaway Class B,BRK.B,1.64%,359.65
10,Unitedhealth Group Incorporated,UNH,1.25%,526.55
11,Broadcom Inc.,AVGO,1.22%,"1,147.00"
12,Jpmorgan Chase & Co.,JPM,1.20%,166.23
13,Eli Lilly & Co.,LLY,1.15%,579.76
14,Visa Inc.,V,1.05%,258.37
15,Exxon Mobil Corporation,XOM,1.03%,101.65
16,Johnson & Johnson,JNJ,0.95%,155.44
17,"Home Depot, Inc.",HD,0.89%,350.81
18,Mastercard Incorporated,MA,0.88%,424.43
19,Procter & Gamble Company,PG,0.86%,146.17
20,Costco Wholesale Corp,COST,0.70%,681.24
21,Abbvie Inc.,ABBV,0.69%,153.42
22,"Merck & Co., Inc.",MRK,0.68%,106.04
23,Adobe Inc.,ADBE,0.67%,599.13
24,Chevron Corporation,CVX,0.67%,149.68
25,"Salesforce, Inc.",CRM,0.63%,263.59
26,Bank of America Corporation,BAC,0.59%,33.43
27,"Pepsico, Inc.",PEP,0.58%,168.91
28,Coca-Cola Company,KO,0.58%,59.02
29,Advanced Micro Devices,AMD,0.56%,138.9
30,Walmart Inc.,WMT,0.55%,154.97
31,Accenture Plc,ACN,0.54%,341.85
32,Mcdonald's Corporation,MCD,0.53%,290.23
33,Netflix Inc,NFLX,0.52%,486.12
34,"Cisco Systems, Inc.",CSCO,0.51%,50.24
35,"Thermo Fisher Scientific, Inc.",TMO,0.51%,518.62
36,Linde Plc,LIN,0.50%,409.1
37,Intel Corp,INTC,0.48%,45.69
38,Abbott Laboratories,ABT,0.47%,108.06
39,Wells Fargo & Co.,WFC,0.47%,49.66
40,Comcast Corp,CMCSA,0.46%,44.69
41,The Walt Disney Company,DIS,0.43%,92.86
42,Intuit Inc,INTU,0.42%,618.43
43,Verizon Communications,VZ,0.40%,37.67
44,Qualcomm Inc,QCOM,0.40%,141.65
45,Oracle Corp,ORCL,0.40%,105
46,Texas Instruments Incorporated,TXN,0.39%,167.42
47,Danaher Corporation,DHR,0.38%,226.45
48,International Business Machines Corporation,IBM,0.37%,162.74
49,"Nike, Inc.",NKE,0.37%,121.14
50,Union Pacific Corp.,UNP,0.37%,241.1
51,Amgen Inc,AMGN,0.37%,275.48
52,Pfizer Inc.,PFE,0.37%,27.06
53,Philip Morris International Inc.,PM,0.37%,94.88
54,Caterpillar Inc.,CAT,0.37%,285.71
55,Boeing Company,BA,0.37%,260.41
56,S&p Global Inc.,SPGI,0.36%,436.41
57,"Servicenow, Inc.",NOW,0.35%,703.72
58,Conocophillips,COP,0.35%,114.9
